,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
0,110,9,10,6,10,10,10,10,6,6,9,8,10,9,4,6,10,10,9,10,7,6,10,10,10
1,9,116,10,10,10,9,9,8,4,9,7,5,10,7,10,6,10,10,6,10,10,8,10,10,10
2,10,10,118,10,10,6,9,4,10,10,7,6,8,8,10,10,10,6,6,10,10,7,10,10,10
3,6,10,10,119,7,9,9,8,3,10,7,7,10,10,10,10,10,5,10,7,10,10,10,10,10
4,10,10,10,7,126,10,10,10,6,10,10,8,6,5,10,7,10,10,10,10,8,7,10,10,9
5,10,9,6,9,10,122,10,10,10,3,6,5,8,10,10,10,10,9,10,10,10,10,10,10,10
6,10,9,9,9,10,10,135,5,8,10,8,10,9,10,10,7,10,10,10,10,9,10,10,10,10
7,10,8,4,8,10,10,5,111,8,9,10,6,10,8,10,10,10,10,7,10,10,9,10,8,10
8,6,4,10,3,6,10,8,8,103,10,10,10,7,7,10,10,6,8,6,8,10,7,10,10,8
9,6,9,10,10,10,3,10,9,10,120,10,10,8,10,10,10,10,10,4,8,10,9,10,8,6
10,9,7,7,7,10,6,8,10,10,10,116,9,10,10,10,10,10,9,10,2,8,10,10,10,10
11,8,5,6,7,8,5,10,6,10,10,9,100,8,5,9,9,10,10,3,10,8,6,10,10,8
12,10,10,8,10,6,8,9,10,7,8,10,8,112,3,10,9,10,6,9,4,10,3,7,10,10
13,9,7,8,10,5,10,10,8,7,10,10,5,3,111,8,10,10,10,10,5,10,5,10,10,10
14,4,10,10,10,10,10,10,10,10,10,10,9,10,8,133,10,10,10,6,10,10,10,8,10,10
15,6,6,10,10,7,10,7,10,10,10,10,9,9,10,10,112,7,10,10,8,10,9,9,10,7
16,10,10,10,10,10,10,10,10,6,10,10,10,10,10,10,7,136,6,6,10,10,7,10,10,9
17,10,10,6,5,10,9,10,10,8,10,9,10,6,10,10,10,6,117,10,8,8,8,10,10,10
18,9,6,6,10,10,10,10,7,6,4,10,3,9,10,6,10,6,10,110,10,9,9,10,10,10
19,10,10,10,7,10,10,10,10,8,8,2,10,4,5,10,8,10,8,10,128,10,10,10,10,10
20,7,10,10,10,8,10,9,10,10,10,8,8,10,10,10,10,10,8,9,10,132,8,10,10,9
21,6,8,7,10,7,10,10,9,7,9,10,6,3,5,10,9,7,8,9,10,8,105,10,10,10
22,10,10,10,10,10,10,10,10,10,10,10,10,7,10,8,9,10,10,10,10,10,10,135,10,9
23,10,10,10,10,10,10,10,8,10,8,10,10,10,10,10,10,10,10,10,10,10,10,10,137,10
24,10,10,10,10,9,10,10,10,8,6,10,8,10,10,10,7,9,10,10,10,9,10,9,10,136
