ID,sc1,sc2,sc3,sc4,sc5,sc6,sc7,sc8,sc9,sc10,sc11,sc12,sc13,sc14,sc15,sc16,sc17,sc18,sc19,sc20,sc21,sc22,sc23,sc24,sc25
1,,,,36,,,58,,,,,,,52,,29,,27,,13,,,18,,
2,100,,72,93,,,,,,58,,,60,,,,,,88,,,,80,,
3,,,,,31,,,,27,10,,,,,,,,12,30,,,,0,,0
4,,,,,,,32,,37,8,,8,,,,,9,,35,,44,,,,
5,,,32,,,,,,,,,54,,,,,57,,,,79,,49,68,18
6,56,,,,,,,45,62,,,,37,,41,46,,,,,,63,,,
7,,,,,,,20,,,,,,3,41,,14,,23,,,,54,,39,
8,,41,,,,31,,,,28,,34,,,,38,,52,,26,,,,,
9,92,,,,,,,,,,100,,,91,79,,,,,,100,100,,,56
10,52,,,,,43,49,,,,76,,,56,23,,,,,,,,,,23
11,,,8,,,,,,,,,,,,20,14,,,30,13,,,,38,11
12,,,,86,,83,,,,,90,91,,86,,,,,,47,,,,89,
13,,,,,,,84,,,57,100,,,,,66,,,,,98,,67,82,
14,,,,,,,,,,,,23,15,40,,35,43,,,,,69,,,18
15,100,91,,,,,,,100,,,,56,,,81,,100,,,,,83,,
16,,,,,,,34,,,15,,1,,,,7,5,10,6,,,,,,
17,,,,,94,81,,,,67,,,,,67,,,76,,,,93,,,40
18,50,27,,,39,,,,50,,,,,,22,,,,,18,41,,,,
19,,,,,,,38,33,,26,59,,,,,,,,33,,49,,20,,
20,79,,47,,,,,,,,84,70,,,50,,,,,41,,,,86,
21,,,,,89,,,,74,,88,59,40,,,,,,,,,74,49,,
22,,,,,,96,,66,,71,100,,,92,,,,,89,,,92,,,
23,,63,,,,,64,46,79,,80,,,,,,,,,,84,,,,23
24,,,,,,66,75,,,,,,,76,,56,,,,43,,,43,77,
25,,,,42,62,,,,,,,,,,,30,,,34,15,59,,,,22
26,,,56,,,,100,,,56,,89,,,,,,100,91,,100,,,,
27,,,,,,,83,61,,,,,,,59,,,73,,,84,88,54,,
28,,,52,,78,,70,,76,,,66,,,,,,,79,,82,,,,
29,45,,,,,,,,41,4,41,,,,,,29,,,,51,30,,,
30,,,,46,,,47,31,,,,,,44,,20,,,34,28,,,,,
31,,54,,63,,,,38,,,,,,58,,,60,,,,74,,,70,
32,,51,,,,49,77,43,,,,,,69,,,,,,25,,,,,35
33,31,,,,41,,,,,,69,,4,,,,,21,,,51,,,,1
34,,,45,,,64,,40,80,,,,,,54,,60,,,,,82,,,
35,,12,,,,23,35,22,,,,,,,14,,,,,,63,52,,,
36,,32,,,,,,19,,,,,8,33,,,,23,25,,,,,47,
37,78,,,80,75,,,,77,,,,42,86,,47,,,,,,,,,
38,40,23,,,,38,,,,10,53,,,,,,,33,,,,,,,2
39,,,,,,,,65,100,69,,,,,,,82,,,54,,86,,,47
40,,35,,,,36,,23,39,,,,,47,,,,,,5,,,,46,
41,,,,,,85,,,,60,,,,,,,92,82,,55,84,,73,,
42,,75,,,86,,,56,,60,,,50,66,,61,,,,,,,,,
43,72,,,,77,,,,,60,86,,,82,67,,,,,,,92,,,
44,,,57,,,,,,100,68,,,,98,,,,100,,,,,,89,60
45,,23,,42,,14,,,,7,,,,,20,,,,,5,,,1,,
46,,,49,,,69,,,,,87,70,,,,48,,,,,,,62,,34
47,,55,,,,,62,,,,87,,41,,,54,,,,,75,,,79,
48,18,,0,27,,,20,,,,48,,,,,,,15,,,,,,,12
49,,,,,72,66,,,,43,,,,,,55,,,,49,,72,,,18
50,,53,26,,,,,,,44,75,,31,,,,51,56,,,,,,,
51,,82,,,,,84,66,,,,84,,,,,88,,,,,,,80,45
52,,,,,,,,14,54,,57,,,30,,,,,42,,69,,,34,
53,45,6,8,,,,,,,12,,,2,,,,13,,37,,,,,,
54,85,49,,,78,67,74,48,,,,,,61,,,,,,,,,,,
55,,,14,,,,,,,,,,,34,,,,,30,24,,52,,52,20
56,,,,,,,45,21,48,21,,31,,,,,,,38,,,,,40,
57,,,54,,,,,,,,89,,,100,,76,96,,98,62,,,,,
58,,,,,,31,,22,,33,75,,,,,16,,,,,57,,,,23
59,,,,48,,,51,22,42,,,,,,,35,,,,,,,26,,24
60,43,,22,,,,,,40,,,,11,,,,20,,,,49,49,,,
61,86,95,,,,100,,64,,,,,62,,,84,,,,,,,,,53
62,,,,68,,,,,,,73,63,29,,58,43,57,,,,,,,,
63,,,,,,,,,,79,,,,80,,63,98,81,,63,,,70,,
64,83,86,,,91,88,,,,,,,65,,60,,,,,,,89,,,
65,67,52,34,,,,,45,,,,,29,,60,,,,,,,,,,29
66,,,,,,,82,,,55,,79,,,85,63,79,,,,,,,89,
67,,,,,67,20,,,,,,39,,36,21,,,,,,55,70,,,
68,,,,59,,,,,71,,,,,,51,50,,,72,,83,,,,41
69,51,,,65,,43,,22,,17,,,,50,,,,,,,62,,,,
70,62,,38,56,,,69,,,,82,,,,,25,,,,,,64,,,
71,88,,,96,,,,,,67,,87,,,,,89,,,,,,56,85,
72,,,,21,,,29,9,23,,55,,,,,,,15,,,,,5,,
73,,,,,100,,,,,,,,60,,75,67,,86,99,,,,,82,
74,,,,,,,20,0,,,,0,,,,,12,,24,8,45,,,,
75,79,75,44,,,,,65,,,,,,77,,72,,85,,,,,,,
76,54,,,55,52,,,17,52,,,11,,,,,15,,,,,,,,
77,70,,,,,,,42,75,,75,,38,,,,,,68,,,,56,,
78,70,,35,,,,,,,,,,42,,52,,47,,,30,,,53,,
79,,,,,,,77,,,,,63,37,,66,56,,,79,,,,,85,
80,93,,,90,,100,,,,,,87,,,,,,92,100,,,,69,,
81,26,16,,,,,,,,,31,,,,,9,,,,6,,51,,,3
82,,87,,90,,,,,93,,100,,,,,,,,,,,100,66,,42
83,,,,52,,61,74,43,,,,63,,,52,,,,,,,,52,,
84,,0,,26,,,,,,4,,0,,,,,0,,17,,,49,,,
85,58,24,15,,,26,,,53,,,,,,,,,,,,65,,17,,
86,,,55,,,88,,,,,,89,,97,,,,90,,61,,96,,,
87,51,36,,57,,,45,,,,,,,,,,,41,,14,62,,,,
88,,,,,,25,42,36,,,,,18,,,,29,,51,22,,,,,
89,,,,,100,90,,,,,100,,,,,,86,94,,62,,,,,60
90,,,26,,,42,,,,,58,,,,,,41,51,,,,72,26,,
91,35,,,,28,,,,,,,11,,17,,,,0,,5,47,,,,
92,,,,,30,,24,3,,,,,7,,,,,0,,,,42,,,0
93,,63,,,,,,56,,,77,,,,,42,68,,,,74,,,82,
94,,,36,,66,,,36,,,,,,,45,,,43,,,,77,,,19
95,,0,,,41,,,0,,,,,,,,1,,,,0,37,,4,,
96,30,,,,,,,,,9,,,0,,3,,,,,5,,,,25,0
97,,75,,,,,,,,,86,71,52,84,,62,,,,,,,,,48
98,,,,,,45,,,,,78,45,27,66,,,,,,19,55,,,,
99,,,18,46,52,34,,,45,,,,,,,,,,27,,,,,,9
100,,38,,,,,44,,,,,42,20,,,26,,,35,,,,29,,
101,70,,30,,,,,,79,,,,29,,,,,49,,,,,50,,25
102,17,,10,27,,2,,,,,,9,,,,,,,23,,,33,,,
103,58,,,,,,,,,,72,,32,,,,,,,,72,,39,54,35
