ID,sc1,sc2,sc3,sc4,sc5,sc6,sc7,sc8,sc9,sc10,sc11,sc12,sc13,sc14,sc15,sc16,sc17,sc18,sc19,sc20,sc21,sc22,sc23,sc24,sc25
1,57,17,,,,20,,,,,,,12,,20,,,,,,,41,,56,5
2,,74,,,,,100,,94,,100,,,,,,97,,,68,,91,,92,
3,,0,,,31,,,0,27,,,0,0,,,,,,,1,,,,19,
4,,,,,,,,,,8,54,,19,38,,15,9,,,,44,,,,4
5,,,,,,,74,37,73,43,,,,,,36,,,59,,,,49,,18
6,56,51,,,,58,,,,,,,,,,,48,,51,,73,,34,,17
7,39,14,,,,,,,,13,,,,,16,14,,23,,,47,54,,,
8,,,32,,,,56,,,28,,,26,,35,,,52,41,,,72,,,
9,,,60,,,95,100,,90,,,94,,,79,,100,,,,,,79,,
10,,,22,40,53,,49,,,,,43,,,,,,,,16,,67,,57,
11,,24,,34,,,27,,,12,,21,,24,,14,,,,13,,,,,
12,,80,62,,91,83,,,,,,,,,,,90,,84,,100,,,89,
13,96,,,,,,84,,,,,,59,,68,,,95,91,64,,,,,32
14,,,,,,38,44,,40,,,,,,,,43,42,,,50,69,,,18
15,100,,52,97,,,,,,,,,56,88,,81,,,94,,,,,95,
16,,,,21,,,,8,40,15,40,,3,,,7,,10,,,,,,,
17,,,57,,,81,,,,,93,,67,,,58,,,89,47,81,,,,
18,50,,,,39,,,30,,26,,23,,,,,,,42,,41,,,,22
19,48,,13,,54,15,,,,,,36,,,,,,,,20,49,,,,17
20,79,,,,,,,47,66,,,,38,,,,70,71,66,,82,,,,
21,,,62,65,,60,,,74,37,,,,,,43,83,,,,,,,,29
22,97,,,,91,,98,,,,100,,,,,76,,,89,,,92,,,56
23,83,,57,,82,,64,,,,80,61,,68,,,,,,,,70,,,
24,,80,,,80,,,,,,81,,,,,,,73,79,43,,79,43,,
25,,,,,,,,,,,53,,,,30,,25,,34,15,59,,30,,22
26,,,56,,,,,,100,56,,89,50,100,73,,,,,,,,78,,
27,,,,75,,,,,84,,,,39,,59,,75,,,44,,88,54,,
28,,64,,65,78,,,43,,51,,66,,,,,,,79,,,,,,21
29,,,,,,0,,,,4,41,,6,,,,29,,28,,51,,18,,
30,,,,,,,,,,21,69,,,,35,20,,,34,28,,,37,52,
31,76,,,,,,,38,,35,,32,31,,,,,64,,21,,,,70,
32,,,40,59,,49,,43,,,79,,,,55,,,65,62,,,,,,
33,,,19,,41,10,45,,,,,,,,10,,25,21,,,,,,39,
34,,48,45,70,75,64,,,,,,,,,54,,,,,34,,,,,38
35,,,,,44,23,,,,,,26,,48,14,,12,5,,,63,,,,
36,46,,,,52,,,19,,,,19,,,17,,,23,,,62,,20,,
37,78,,,80,75,72,,61,,,,,,,80,,76,,,,,88,,,
38,,,,,46,,42,7,,,,,12,,,,,,31,,,57,,35,2
39,,,,,,,,65,,69,93,,,,,70,82,,,,92,86,80,,
40,50,35,22,,,36,,,,,,,,47,,,31,,,5,,53,,,
41,,,,,,,,,,,,94,47,,,69,92,,,55,,94,73,97,
42,69,,,73,,,73,,,,,,50,,,,,60,75,,76,72,,,
43,,,,,77,69,81,56,,,86,67,,,,,,,,,,,61,83,
44,,,57,,92,,91,,,,,100,,,,,,,,,,96,79,89,60
45,,23,,,,,,,32,,,,,,,,,14,,,40,39,1,20,4
46,,,49,,,69,,,89,,,,,,,,87,75,,35,87,,,,34
47,,55,39,80,,73,,,,47,,,,66,41,,62,,,,,,,,
48,,,0,,,13,20,,,,,,4,19,11,,,15,,,,,,47,
49,,,,,,,,,,43,80,,32,,54,,,48,,49,,72,39,,
50,,,,,,,73,,,,,,,69,,,,56,,32,64,,48,68,21
51,,,65,79,,78,,66,83,,,,,,,74,,77,,,,,64,,
52,55,28,27,,,,37,,,,,,,30,,,,,42,,,,26,34,
53,45,,,,36,,,6,,,,,2,,19,23,,,37,,56,,,,
54,,,,76,,,,,82,,73,,,61,,,,74,,,,69,,64,25
55,49,,14,,,29,,,,,,,,,,14,,,,24,,52,,52,20
56,43,37,,,,,45,,,21,,31,,,,,,32,,,74,,,,13
57,,83,,,89,99,100,,,,,80,57,,,,96,,,,,,71,,
58,47,39,14,,,,,,,,,37,22,,34,,,28,,12,,,,,
59,,,34,48,,,,22,,,76,,27,48,,,,,,,53,,,42,
60,,6,,,,20,32,,40,,,,,,7,,,,,,49,49,12,,
61,86,95,61,,,100,,,,,,,62,,78,,,,97,,97,,,,
62,76,45,,,,,62,33,,,73,,29,,58,,,,,,70,,,,
63,90,100,,94,,87,,,,79,,,51,80,,63,,,,,,,,,
64,,86,69,,91,88,,,,,,,,,,52,,,,37,95,,,87,
65,67,,,56,,,,,74,,74,,29,,60,,,51,,29,,,,,
66,,,,,87,,82,51,,,87,79,,,,63,,,82,,,,,89,
67,,,,,67,20,36,,,,57,,13,,21,,29,,40,,,,,,
68,,69,47,,62,,,48,,,84,,32,,,,,64,,,,,39,,
69,,36,,,,,66,,,,,,,50,,,36,34,,,62,71,,62,
70,,,,56,,,69,,,,82,,30,,,,38,,,,,64,,51,37
71,,92,,96,,,89,71,,,,87,,,69,75,,,,,,89,,,
72,18,,,,,10,29,,,,,,,,,9,8,,,12,,43,,,4
73,,,59,,,83,100,,,62,,89,60,,,,,,99,,,,52,,
74,,,,31,,,,0,,0,,,,,2,13,,,,,,40,,23,9
75,,,44,,,,,,,41,,93,,,63,72,,,,,87,91,,88,
76,,,25,,,,,17,,,63,,,38,,,,25,,,56,,,34,13
77,,,,,76,51,,,75,,75,,,,,,,,68,,82,70,,,37
78,70,,,,68,65,,29,,,,,,,52,,,,68,30,,,,73,
79,,,,,,68,77,,,,,63,,,,56,,,,34,,,56,85,47
80,,95,74,,,,,68,,65,92,,,,,,,,,,,100,,100,54
81,26,16,7,,38,,,,43,,,,,11,,,23,,,,,51,,,
82,,,58,,,,96,,,,100,74,,,76,,,,,55,88,100,,,
83,,,,,,,74,43,60,,82,,,57,,,,,59,28,,,,57,
84,,0,,,,,28,,25,,,,,18,0,,0,,,,,,0,31,
85,,,,32,,,,,53,,52,,17,,,,,28,32,,65,,,,12
86,,83,55,84,,,,50,,,,,,97,,72,85,,,,,96,,,
87,,,,57,,50,,,66,37,,,,41,,21,,41,,,62,,,,
88,,,,55,,,,36,,,,,18,,,,29,47,,22,,,,55,21
89,,,80,,,90,,,,70,100,,66,,72,,86,,,,,100,,,
90,,49,,56,,,,45,,,58,44,,,,,41,,,,62,,,71,
91,,,0,,,16,29,5,,,,,,,,9,,,,,47,34,,30,
92,22,,3,17,,,24,,,,,,,11,,,6,,,,51,,,,0
93,75,,,76,77,,,,69,,,,,,55,,,,80,,74,,,82,
94,57,,,,,,51,,63,39,,29,,47,45,35,,,,,,,,,
