ID,sc1,sc2,sc3,sc4,sc5,sc6,sc7,sc8,sc9,sc10,sc11,sc12,sc13,sc14,sc15,sc16,sc17,sc18,sc19,sc20,sc21,sc22,sc23,sc24,sc25
1,,,,36,,,,,44,23,,,12,,,29,,,,,58,,,,
2,,74,72,93,,,100,,,,,,,,,,,,,68,,91,,,
3,,,,19,,,,0,,,,0,,,,,,,,1,32,,0,,
4,,12,,,48,,,10,,,,8,,,,,9,,,,,,9,,
5,,,,,53,,,,73,,,,29,,,36,57,,,,,,,68,
6,,51,33,,,,,45,,,,,,,,,48,,,,,63,,,17
7,,,,,,,20,0,,,,,,41,,14,,,,,47,,,,14
8,,41,,,,,,,,,,,,60,35,,,,,26,,72,,52,
9,,,60,,,95,,,,,,,,91,,,100,,,,,,,98,56
10,,28,,,53,43,,,,22,,,,,,25,,,,,,,,57,
11,,,,34,41,,27,,,,,21,,24,,14,,,,,,,,,
12,,80,,,,83,91,69,,,90,,,,,,,100,,,,,,,
13,96,,,,,,84,65,,,,86,,,,66,,,,,,,67,,
14,41,,,,,,44,,,,47,,,,,,,,,30,,69,,50,
15,,,,,,,100,,100,75,100,95,,,,,,,,,,,83,,
16,,,,,28,,34,,,15,,1,,,,,5,,,,,33,,,
17,94,,,,94,,,,84,67,,,,,67,,,,,,,93,,,
18,,,,,,26,,30,,26,44,23,,,,,32,,,,,,,,
19,,,13,,,,38,,46,,,36,,44,,,,,33,,,,,,
20,,,,,75,,,47,,,84,70,,,50,,,,,,,,,86,
21,,,,,89,,71,,,37,88,,,70,,,,,77,,,,,,
22,97,,,,,96,98,,,,100,,,,,,,,,64,,92,,,
23,,,,,,,,,,,,,37,68,,44,,,,35,,70,,77,
24,87,80,,,,,,,73,,81,,,,,,83,,79,,,,,,
25,,21,,,,,,29,47,25,,,,,,,25,,,,,,,,22
26,,88,,,,,100,,,,100,,,,73,,,,,,100,,78,,
27,65,,,75,,60,,,,43,,,,,,,,73,,44,,,,,
28,,,,,,,,,,,,,34,75,,48,,,,43,,81,41,,
29,,,9,40,,,34,,,,,,,32,8,,,,,,,,,31,
30,,,,,,32,,,,21,,,,,,,39,41,,,,,37,,23
31,,,,,,,50,,,,76,,,58,43,,,,,21,74,,,,
32,,,,,,,77,,,,79,,26,69,55,39,,,,,,,,,
33,,,19,,,,,,,,,,,,,12,25,,38,,,62,,,1
34,,,45,70,75,,,40,,43,,,,,,,,,,,,,54,,
35,42,,17,42,,,35,,38,,,,,,,,,,,,,52,,,
36,46,,,,,,,,43,,58,,8,,17,,,,25,,,,,,
37,,,56,80,,,74,,77,,,,,,,,,,87,,,,,70,
38,,,,44,,,,,,10,53,24,,,,16,,,,,57,,,,
39,,,54,,,,,,,,93,77,,,,70,,,,54,,,,,47
40,,35,,,46,,,,,12,,,8,,20,,,,34,,,,,,
41,,,,,,,,,85,,96,,47,,,,,82,95,,84,,,,
42,,,,,,,,,,,,45,,,,,71,60,,32,76,,,,41
43,72,69,36,,,,,,,,,,52,,67,,,75,,,,,,,
44,,,,,,,,65,100,,,,,,88,,,,,,,96,,89,60
45,,,,,25,,,,,7,,22,,,,,,,,5,,,,20,4
46,,,49,,,,,,,,87,,29,,71,48,,,,35,,,,,
47,,55,,,,,,,,47,,,41,66,,,,,,33,,,,79,
48,18,,,,,,,0,,,,11,,,,,,,33,0,,,14,,
49,,50,,,,,,,65,,,,32,,54,,55,,,,,,39,,
50,,,,,,,,,,,75,,,69,,,,56,57,32,,,,68,
51,,,,,,78,84,,,,,,,95,,74,,,,47,90,,,,
52,55,28,,,,,,,54,,57,,,,,,,,,14,,,26,,
53,,6,,44,,,,,,,,,,,,,,32,37,21,,50,,,
54,,,32,76,,,,,82,,,,,,,,63,,,,82,,,,25
55,,20,,,,,,,,,62,,15,,34,14,,,,,,,,,20
56,,,17,,,,45,,,21,,31,,,,,28,,,7,,,,,
57,,,54,,89,,,,,68,,,,,75,76,,,,,,,71,,
58,,,,41,56,,,,,,,,,41,34,,20,28,,,,,,,
59,61,,,48,,,,,,26,,,,,,,,34,,,,,26,42,
60,,6,,,,20,32,,40,,,,,,7,,,,,,49,,,,
61,,95,,,,,,,100,63,,,,95,,,,,97,,97,,,,
62,,45,,68,,,,,,40,73,63,,,,,,,59,,,,,,
63,,,,,100,,,52,83,,89,,51,,,,,,,,,,,82,
64,83,86,,,,88,,,,,78,,,,,,,74,,,,,,,49
65,,,,,,,,45,,,,,,71,,46,,51,,29,78,,,,
66,82,,,,,,,,91,,87,,,,,,,,,31,89,,66,,
67,50,37,22,,,,,,,,,39,,,,,,,,,,70,21,,
68,,69,47,,,,,,71,44,,,,,,50,,,,,,,,,41
69,,,34,,,,,,,,,,28,50,42,,,,,,,71,,,8
70,62,,38,,,50,,,,,,,,,,25,38,55,,,,,,,
