ID,sc1,sc2,sc3,sc4,sc5,sc6,sc7,sc8,sc9,sc10,sc11,sc12,sc13,sc14,sc15,sc16,sc17,sc18,sc19,sc20,sc21,sc22,sc23,sc24,sc25
1,,,,,,,,26,,23,,,,52,,,,,,,,,,56,5
2,100,,,,100,100,,,,,,,,,,,,,,,,,80,,35
3,,,,,31,,,,27,,,,0,,,,16,,,,,,,,0
4,,12,,,,,32,,,,,,,,,15,9,,,,,,,40,
5,80,,,64,,,,,,,,,,,,,,,59,,,,49,,18
6,56,,,,,,58,,,,,,,58,,,,,,,,63,,66,
7,,,,,,,20,,,13,,,,41,,,17,,,,,54,,,
8,,,32,,60,,56,34,,,,,,,,,,,,,,,,52,
9,92,,,94,,,,,90,,,,,,,,,,97,,100,,,,
10,,,22,,,,,25,,,,,,,,,,25,55,,,,32,,
11,,,,34,41,,,,,,,,,,,,28,29,30,,,,,,
12,,,,,,83,,,99,,90,,49,,,,90,,,,,,,,
13,,,,,,,,,96,57,,,,,,,,95,,64,,93,,,
14,,,14,47,,38,,17,,,,23,,,,,,,,,,,,,
15,,,52,,,,,,,,,,,,,,,,,59,,,83,95,54
16,26,,2,,,,,,,15,,,,,15,,,,,,28,,,,
17,,,,,,,,,,67,,,67,,67,,,76,89,,,,,,
18,50,,,,,,52,,,,,,9,,,,32,,,,,,,,22
19,,,,,,,38,,46,,,,29,,,,,,33,20,,,,,
20,,49,47,,,,,47,,,,,,,,,,,66,,,,,86,
21,69,66,,65,,,,,,,,,,,,,,,,41,,,,88,
22,,,,,91,,,66,,71,100,,,,,,,,,,,,66,,
23,,,57,72,82,,,46,79,,,,,,,,,,,,,,,,
24,,,,,,,,46,,,,,45,,,,,,79,,,79,43,,
25,,,30,,,,45,29,,,,,26,45,,,,,,,,,,,
26,,,,,96,,100,,,,,,,,,,,,,41,100,98,,,
27,,,,,73,,83,,,43,,,,,,,,73,,44,,,,,
28,,,,,,59,70,,76,,89,,,,,48,,,,,,,,,
29,,16,,,,,,,,,41,,,,8,,,,,,,,,31,16
30,,,,,59,,47,,,,,,,44,,,39,41,,,,,,,
31,,54,26,,,,,,,,76,,,,,,,,63,,,77,,,
32,,,,,,,,43,,40,,,,,55,,,,,,,68,41,,
33,,,,22,41,,45,,,,,,,,,,25,,,,,,,,1
34,68,48,,70,,,,,,,,,,,,,,66,64,,,,,,
35,42,12,,,,,35,,38,,,26,,,,,,,,,,,,,
36,,,,,52,,,,,,,,,,17,28,,,,,62,58,,,
37,,,,80,,,74,,,,,65,,86,,,,,,47,,,,,
38,,,,,,,,7,,,,,,34,,16,,,,,,,11,,2
39,,81,,,,,,,,,,,,,,70,82,,,,,,80,90,
40,,,,,46,,,,,,72,,8,,,26,,,,5,,,,,
41,,,,84,,,,,,,96,,47,,77,,,,,,,94,,,
42,,,,73,,,,56,,,,45,50,,,,,,75,,,,,,
43,,,36,81,,,,,,,,,,,67,,77,,70,,,,,,
44,,,,94,,,,,,,,100,,,,,,100,,,98,,,,60
45,,,,,,,,17,,,58,,,36,,20,,,,,,,1,,
46,93,70,49,,,,,,,,,,,,,,87,,,,,,,71,
47,,,,,,73,,53,,,,55,,,,,62,,69,,,,,,
48,,,,,,,20,,,,48,,4,,11,,,,,,,,,,12
49,,,,,72,,,,,43,,,,72,,,,,,,,72,39,,
50,,53,,,67,,,,,44,75,56,,,,,,,,,,,,,
51,,,,,,,84,,,,89,84,51,,,,,,,47,,,,,
52,,,,,,21,37,,,,,20,,,,,,26,,,,,,,15
53,,,,,,,30,6,44,,40,,,,,,,32,,,,,,,
54,85,,,76,,,74,,,,,,50,,,,,,,,,,,64,
55,,20,,,60,,,,55,15,,,,,,14,,,,,,,,,
56,43,,,,,36,,,,,,,,,,19,,,,7,,,23,,
57,,,,,,,,64,89,,,,,100,,,,,,,,,71,85,
58,47,,,,,,,22,,,,,,41,,,,28,,,,,,55,
59,61,,,,,,,22,42,,,,,,,,,,,26,,59,,,
60,,,,,57,,,,40,,,10,,,,11,20,,,,,,,,
61,86,,,100,100,,96,,,,,,,,,84,,,,,,,,,
62,,,,,65,64,,,65,,73,,,,,,,55,,,,,,,
63,,,,94,,,,,83,,,,51,,,,,,,63,100,,,,
64,83,,,,,,83,,,,78,,,79,,,,,,,95,,,,
65,,,,,,,,,,35,74,,29,,,,,,,29,,,,,29
66,,,,87,,79,,,,,,,,,,,,,82,,,,66,,45
67,,,,50,,,,,,,,,,,,,,33,40,,55,70,,,
68,66,69,47,,,,,,,44,,,,,,,,,,,,,,65,
69,,,,65,,,,,,,73,,,,,,,34,,,62,,,62,
70,62,,,,,,,,,28,,,,,,,38,,,28,,,42,,
71,,,,,,,,71,,,,,,85,,75,,87,,,,,,,43
72,,,,,,,29,,,3,,,5,,,,8,,,,,,,,4
73,97,,,,100,,,,,,97,89,,,,67,,,,,,,,,
74,,,,31,,,,,,0,,,0,,,,,,,,,40,,23,
75,,,,88,,,,,,41,,,,77,,,80,,,57,,,,,
76,,,,,,,40,17,52,,,,,38,,,,,,,,52,,,
77,70,62,,,,,,,,,75,,,,,33,,,,,,,,60,
78,,,,,,,,,,,70,,,72,,,,58,,30,68,,,,
79,,,,80,,,,,,,,,,,66,,,70,,34,,,,,47
80,,,,90,,,,68,100,,,87,,,,,,,,,,,,,54
81,,,,,,,,,,0,31,,0,11,0,,,,,,,,,,
82,,,,,,,,63,,,,,,,76,,,,85,,,,66,,42
83,,,,52,,,74,,,,,63,,57,,,,,,28,,,,,
84,,,,,,1,,,25,,,,,,0,,,,17,,,49,,,
85,,,,32,,,,25,,11,,39,,,,,,28,,,,,,,
86,,,,84,,88,,,98,62,,89,,,,,,,,,,,,,
87,,36,,57,,,,,,,,28,,41,28,,,,,,,,,,
88,59,41,,,59,,,,58,,,,,,,,,,,,,,39,,
89,,,,,,,,,,70,,85,,,,78,,,,62,99,,,,
90,,49,26,56,,,55,,,,,,,,,,41,,,,,,,,
91,,,,,,,,,,1,,,6,17,,,,,,,47,,,30,
92,,,,,,4,,,,,,,,,,,6,0,,,51,,1,,
93,,63,,,,,,56,,,,59,54,,,42,,,,,,,,,
