ID,sc1,sc2,sc3,sc4,sc5,sc6,sc7,sc8,sc9,sc10,sc11,sc12,sc13,sc14,sc15,sc16,sc17,sc18,sc19,sc20,sc21,sc22,sc23,sc24,sc25
1,,,,36,44,,,,,,,,,,,,,,,,58,,18,,
2,,,72,,,100,,,,,,,60,,,,,92,,,,,,,
3,,0,,,,,,,27,,,0,,4,,,,,,,,,,,
4,,,,,,10,,,,,,,19,,,15,,,,,,,9,,
5,80,,,64,53,,,37,,,,,,,,,,,,,,,,,
6,,,,,,,58,,62,,,48,,,,,,,,,,,,,17
7,,,,,,,,,,,39,,,41,,,17,23,,,,,,,
8,,,,,,,56,,,28,,34,,,,,,,,,,,,,16
9,,,,,,,100,,,,,,,91,,,,,97,,,,,,56
10,,28,,,,,,,,,,,29,,,,43,25,,,,,,,
11,,,,,,,,,,,,,,24,20,,,29,,,48,,,,
12,,,,,,,91,,99,,,91,,,,,,100,,,,,,,
13,96,,,,,,,,,,,,,,,,98,95,,,,,67,,
14,,,,47,,,,,,,,,,,,,,42,42,,,,29,,
15,,91,,,88,95,,,,,,95,,,,,,,,,,,,,
16,,,,21,,,,,,15,40,,,,,,,,,,,,0,,
17,94,,,,,,,,,,,,67,,,,,,,,,93,,90,
18,,,,,,,,30,,,,,9,,22,,,,,,,,16,,
19,,,,,,,38,,,,59,,,,,,25,,,,,,,,17
20,,49,,,,,,,,,,,,,,,70,,,,,75,50,,
21,,,62,,,,,,,,88,,,,,43,,,,,95,,,,
22,,,,,,,,66,,,,97,,,,,100,,,64,,,,,
23,,,,,82,,,,,,,,,,,,,55,,35,,,,,23
24,,,,,,,,,,,81,72,,,59,,,,,,90,,,,
25,52,,30,,,,,,,,,,,,,,,,34,,59,,,,
26,,,,,,,100,,,,,,,,73,,,100,,41,,,,,
27,,,,,,60,,,,,,,,,,46,75,,,44,,,,,
28,,64,,,,,,,,,,,,75,51,,,,,,,,,,21
29,,,,,,0,34,,,,,,,,,,,,,18,,,,31,
30,,,,,59,,,,58,,,,14,,35,,,,,,,,,,
31,,,,63,,,50,,,35,,,,,43,,,,,,,,,,
32,,,,59,,,,,,,79,,,,,,,65,,,73,,,,
33,,,19,,,,45,,,,,,4,,,,,21,,,,,,,
34,68,,,,,,,,,43,,,,,,,,,,,86,,,62,
35,42,,,42,,,,,,,,,6,,,,,,,,,,20,,
36,,,,,,,,,,,,,8,33,,28,,,,,,,,47,
37,,,,,,,74,,,,,,42,,,47,,,,,83,,,,
38,,,,,,,,,,,53,,,34,,,30,,31,,,,,,
39,,,,,83,,,65,,,,,,,,,82,,,,,,80,,
40,,,22,,,,,,,,72,,,47,,,,,,,,,,,9
41,82,,,,,,,,,,,,,,,,,,,55,84,,,,27
42,,,,,,60,73,,,,,45,,,,,,,75,,,,,,
43,72,,36,,,,81,,,,,,,,67,,,,,,,,,,
44,,,,94,,,91,65,,,,,,,,,,,,,,,,,60
45,39,,6,,,,,,,,,22,,,,,13,,,,,,,,
46,,,,,,,,,,,,70,,79,71,,,,76,,,,,,
47,,,,,,,62,,,,,,,,,,,72,69,,,,,,34
48,,14,,,,,,,,,48,,,,,,16,,33,,,,,,
49,,,37,,,,,,,,,,,,,,55,,,,,,39,,18
50,,,26,,,,,,,,,,,,,,,56,,,,,,68,21
51,,,,,82,,84,,83,,,,,,,,,,,,,,64,,
52,55,,,,43,,,,,,,,,,,,,,,14,,,26,,
53,,,,,36,,,,44,,,,,,,,,32,,,,,7,,
54,,,,,,,,,,,,,,61,60,,,,79,,,,,,25
55,,,,,,,,,,,,,15,,34,,,,,24,,,29,,
56,,,,,,,,,48,21,,31,,,,,,,,,,,,40,
57,,,,,,,100,,89,68,,,,,,,,,98,,,,,,
