ID,sc1,sc2,sc3,sc4,sc5,sc6,sc7,sc8,sc9,sc10,sc11,sc12,sc13,sc14,sc15,sc16,sc17,sc18,sc19,sc20,sc21,sc22,sc23,sc24,sc25
1,,,,36,,,58,,44,,,27,,52,,,26,,29,,,,,56,5
2,,,72,93,,100,100,,,58,100,,,,,80,,,,68,,,,,35
3,,0,0,19,,,,0,,,,,0,,9,,,,,1,,,0,,0
4,,,,,48,10,,,37,,,8,,,,15,9,11,,21,,48,,,
5,80,,,,53,,,37,73,43,,,29,63,61,,,,,,,81,,,
6,,,,,68,,,,,,58,,,,41,46,,43,,24,73,63,34,,
7,,,,,,,20,,32,13,39,9,,,,,17,23,5,,,,,,14
8,,,,51,60,31,56,,51,,,,26,60,,38,,,,26,,,,,
9,92,,,,93,,100,,,,,94,50,,79,92,,,97,,,,,98,
10,,,22,40,,,49,,52,,,43,29,,,,,,,,52,67,,57,
11,35,,,,,,,18,,12,,21,23,,,,,,,,48,59,21,,11
12,,80,62,,91,,,,,62,90,,49,,,,,,84,,100,100,,,
13,,,,99,,,,65,,,100,,,100,,66,,95,,,98,93,,,32
14,,,14,,55,,44,17,40,,,,,,,35,,,,,,69,29,50,
15,100,,,97,,,,,,,,95,56,,72,81,,100,,,,,,95,54
16,,0,,,,,,,40,,,1,,,15,7,,,6,,28,33,,,6
17,,72,,,,,,53,84,67,,,,75,67,58,90,,,47,,,,,
18,,27,13,,39,26,,30,,,,23,,42,,20,,,42,,,,,,
19,48,,13,,54,,38,,,,59,36,29,,,17,,,,,,,,51,
20,,49,47,67,75,77,,,,,84,,,,,54,,,,,82,,,86,
21,69,,,65,,,,,,,,59,,,,43,83,,77,,,74,49,,29
22,,89,,,91,,98,,100,71,,,,,90,,,,,64,,,,90,56
23,,63,,,,60,,,79,,80,,,,67,,,55,,,,,64,77,23
24,87,,,,,,,,,53,,72,45,,,,83,,79,43,,,43,77,
25,,,,,,26,45,,47,25,,35,26,,,30,25,34,,,,,,,
26,96,88,,,,,,,100,56,100,89,,,73,,,,,,,,78,,52
27,,,45,,73,,,61,84,,,66,,,59,,,73,,,84,88,,,
28,,,52,65,,,70,,,51,,66,34,,,,,62,,,,,41,,21
29,45,,,40,,0,,,,,,14,,,8,,29,2,,18,,,,,16
30,,,,,,,,,58,21,69,26,14,,35,,,,,,51,,37,,23
31,,,,,,,50,38,,,76,,,,43,,60,64,,,,77,36,70,
32,68,,,59,65,49,,43,,40,,,,,,,,,62,,,,41,63,
33,,9,,22,41,10,,,,13,,,,,,,,,38,13,,,18,,1
34,,48,45,70,,64,,,,,,,,,,,60,,,,,82,54,62,38
35,,,,,44,,35,,38,6,46,26,,,,14,,,,9,,52,,,
36,,32,,39,,25,,,43,10,,19,,33,,,,,,20,,,20,,
37,78,,,,75,,,,,43,89,,42,86,80,,,,,,,,69,70,
38,,,,,,38,,,,10,53,,12,,,16,30,33,,,57,,,35,
39,,81,,100,,,,,100,69,,,54,,,,,,100,54,92,,,,47
40,50,35,,,,,54,,,12,,,8,47,,,,,,,61,53,,46,
41,82,,,84,,,,71,,60,,,47,84,77,,,82,,,,94,,,
42,,,,73,86,,,,,60,74,,50,66,,61,71,,,32,,,,,
43,,69,36,,,,,,70,,,67,52,,,,,75,,,89,92,,83,
44,,,57,,,,91,,100,,,100,,98,,,97,,100,,,96,,,60
45,,,,42,,,,17,,,,,10,,20,,,,38,5,40,39,,,4
46,93,,,93,,69,,48,89,,,70,,,71,,,,,,,,62,,34
47,,55,39,,,,,,,,87,55,,,,54,,,,,75,87,,79,34
48,18,,,,,,,,24,,48,,,19,11,,16,,33,,39,,14,,
49,78,,37,,,,,35,,43,,61,,72,,55,,48,,,,,,78,
50,,53,26,,67,,73,,53,,75,,,69,,44,,,,,,,,,21
51,97,,,79,,,,,83,,,84,51,95,,,,,79,,,97,,80,
52,,28,27,51,,21,,,54,,,20,23,,32,,,,,14,,,,,
53,45,,8,,,,30,6,44,12,,17,,,,23,,,,,,,,34,
54,,49,,,,67,,,,,73,,50,,,,63,,,33,82,,41,,25
55,49,20,,,60,,,17,,,62,,,,,14,,19,,,,,29,,20
56,,,,,,36,,,48,21,,31,,,30,19,,32,38,,,56,,,
57,,,54,,,99,100,,89,68,,,,,75,,,,,62,,88,,85,
58,,,14,,,31,38,22,,33,,,22,,,16,,,,,57,,,55,
59,,,,48,,33,,,,,,,27,,,35,,34,31,,,,26,42,24
60,,,,,,,32,20,,18,,,11,,7,,20,,,4,,,12,,14
61,86,,61,,,,96,,,,,82,,95,,84,,94,,,,91,59,,
62,,45,41,,,,62,,65,,73,,,,,,,55,,37,,67,50,,
63,90,,50,,,,,,83,79,,,51,,80,63,98,,,63,,,,,
64,,86,,87,,,83,,,,,76,,,,,73,74,84,,,,63,,49
65,67,,,,70,,,45,,35,,,29,71,60,,,,,,,,30,64,
66,82,,,,,79,,,,55,87,79,,,,63,79,,,,89,97,,,
67,,,,,,20,,13,48,,57,39,,,,31,,,40,,55,,,44,
68,,69,,,62,69,,,,44,84,,,,,50,,,72,,,,39,,41
69,51,,34,,,43,,,,,73,,,50,42,,,34,,25,62,,,,
70,62,,,,,50,,,,28,,36,30,47,,,,55,,28,,64,,,
71,,,,96,,86,,71,,,91,,40,,,,89,87,,44,,,56,,
72,18,3,13,,,10,29,,23,,,,,,,9,,15,,,,,,,4
73,,77,,96,100,,,68,,62,97,,,,,67,,86,99,,,,,,
74,,,6,,,,20,,,,61,0,,19,,,12,,,8,,,,23,9
75,,,,88,,73,,,,41,87,93,,77,,,,85,,,87,,81,,
76,,,,,,,40,,,19,63,,,38,29,15,,,23,20,,52,,,
77,,62,,,,,66,,75,,75,,38,71,,33,51,,68,,,,,,
78,,,35,,68,65,,29,66,,,,,,,52,47,58,,,,,53,,
79,,68,38,,,,,,,41,,,,69,,,58,,79,,,87,56,,47
80,93,,,,,100,100,,,,,,,94,94,65,,,,,99,100,,,54
81,26,,,,,8,,,43,,,,,11,,9,,11,11,6,,,,25,
82,,,58,90,,,,,,,,,,97,,68,95,,85,,,,66,99,42
83,70,,28,52,,,,,,,,,29,,52,,,57,,,74,,52,57,
84,24,,,,33,,,,,,,0,1,,0,,,,17,,51,49,0,,
85,58,24,,,,,,,53,,,,,45,31,14,,,,,65,63,,,12
86,91,,55,,,88,89,50,,,,,,,,,,,,61,,,55,85,54
87,,,33,57,,50,,,,,,,30,,,,36,,,,62,64,19,50,
88,59,,,,59,,,36,58,,,,18,,33,,,,51,22,,55,,,
89,,,,99,100,,,68,97,70,,85,,,,,86,,90,62,,,,,
90,66,,,,53,,,,,,,,,58,,,41,51,45,20,62,,,,30
91,35,0,,28,,,,,,,,,,,11,,,,26,,47,34,,30,0
92,22,,,,,,,,,,,8,,11,5,0,6,0,,,,,,32,0
93,,,,76,77,,,,,54,,59,54,,,,,,,44,,85,47,,17
94,57,,,,,,,36,,,80,,30,47,,35,,,,27,71,77,,,
95,19,,,,,8,,,30,1,,11,,,9,,,,29,0,,51,,,
96,,,,,27,0,,,,,,11,0,,3,,,,,5,32,39,,25,
97,,,,,78,82,73,,,,,,52,84,,62,67,,,,80,,,,48
98,,,24,51,,,,,64,36,,,,,41,42,,49,,19,,,,,29
99,54,,18,,,,25,,,,46,,,44,12,,,28,,,,,,38,9
100,,38,,,60,,,25,,,,,20,,,,31,28,,,60,,29,,13
101,,,30,81,,,,40,79,,,,29,,55,35,,49,,,,75,,,
102,,,10,27,,,,,,,44,,0,21,,,,,23,,,,8,13,11
103,58,,35,68,45,,,,,,72,,32,,,,,,,13,72,,,54,
104,,29,,,,,,,46,,,,,31,21,19,,,32,6,58,,,,6
105,80,57,,,,,72,,,,,57,20,,41,,,49,,28,,,61,,
106,,,,89,82,88,83,,97,74,,,,,,58,86,,,53,,,,,
107,,27,,54,52,,,,48,,,,,,22,,35,,,,69,46,37,,
108,,,,,40,1,,,,0,,,,,,,0,0,13,,,40,,12,5
109,,13,,,,27,,,,17,51,9,,25,5,15,,,,,52,,,,
110,,8,10,28,29,8,,,29,,,,13,37,,,,11,,,,,,,
111,,,,,,93,,,,,86,,59,,67,,,82,84,,89,86,,,41
112,91,,72,,,,,,91,,95,,,96,,,,85,,53,86,,,,56
113,,,60,86,,,82,,,53,99,,,,77,,70,,,,78,,52,,
114,,,31,,,55,64,,58,40,,,,,,,56,,44,,,65,49,,
115,,,,91,,100,83,77,93,,,,,,,72,100,,,,91,95,,,
116,,,,65,71,,,,55,,,53,,,,34,,58,,33,,,,64,29
117,31,,6,40,,,37,,,0,,,0,,,2,,,24,,,,12,,
118,,22,,,,,53,33,,,,22,27,,30,25,,,,,53,,,,12
119,,,33,,,,,,,,67,54,,70,43,,,68,,39,,73,,,18
120,,,,,,45,53,39,67,25,,,,,,,52,,50,27,58,,,,
121,68,,40,,,37,52,,,39,,,,66,,,,,55,35,,,,64,
122,77,94,,77,,73,,58,,,,,60,,85,,85,,,,,,63,,
123,,,,,62,,68,,77,37,,71,,,,35,,,60,,,,50,78,
124,98,,,,,,,,,71,,,,93,79,66,,,,,94,85,,89,40
125,65,,,,,,,35,67,23,,37,16,52,,21,58,,,,,,,,
126,,,17,,,19,,,,8,,18,,,,8,,3,,,,38,19,15,
127,71,,23,,,,,,,,,45,,,,33,40,54,,,58,,27,,16
128,,100,82,91,,,,,,,,77,63,,,,,,92,73,100,,,100,
129,,,,,37,,49,12,,,,,28,,34,,42,,,,54,,25,,17
130,,,18,,,,41,,51,28,,,,,,28,36,,,22,,50,,,19
131,,,,,,12,,7,,,,19,,,19,,,,,20,57,44,,40,5
132,,,,,,,64,,64,,,44,28,,,,,55,60,39,,80,,,24
133,,,,92,,,86,,86,51,,,,,78,,92,,99,,,,,80,53
134,,,3,,,19,,11,,,,,5,,,,10,,33,5,,42,,,6
135,,56,,,73,,,32,76,49,78,,,,,,50,49,,,,,41,,
136,37,7,,,,,,,32,,30,,6,,,,,,18,7,43,,15,,
137,,,23,63,61,,,,,30,80,34,,,24,,,41,57,,,,,,
138,54,51,,,,43,,35,,36,67,,,,46,,,,,,73,,,63,
139,65,,,49,,,41,,,26,,38,22,49,,,,,,21,,,,,18
140,92,92,70,,100,,,,,,,,,100,89,85,,,,58,95,,,,
141,,,,23,32,7,,,26,15,,,0,,,4,13,,,,47,,,,
142,,,,,,,,21,,24,,31,,51,,,,35,54,,,,41,56,22
143,,,,,,79,,,,,92,,,80,,58,,72,92,48,,82,,76,
144,61,,20,55,65,,,,,28,,,,,,,,47,52,25,,64,,,
145,,,16,31,,9,34,,,,54,,,,14,,,,,,55,,14,,0
146,,9,,20,26,,16,,,,,0,,,0,,1,,10,,,,,24,
