ID,sc1,sc2,sc3,sc4,sc5,sc6,sc7,sc8,sc9,sc10,sc11,sc12,sc13,sc14,sc15,sc16,sc17,sc18,sc19,sc20,sc21,sc22,sc23,sc24,sc25
1,40,22,,,,,,,,,,,,,,,,6,,,7,,,,
2,,,,,,,,,50,,,,100,,,,76,,,,,,100,,
3,,,,,,2,0,,,,,,,,,,,3,0,,,,,,
4,,,,57,,,,,,,,,,,46,55,,,,,2,,,,
5,57,,,,,,,,,,,,,,91,,,,,,,,82,30,
6,,27,57,,,,,,58,,,,,,63,,,,,,,,,,
7,,,,69,,,,,,,,,,,,,,,,22,,12,,0,
8,,,,,,20,,,,,,,,,,70,,,,19,,,,0,
9,84,,,,,,,,,92,66,,,52,,,,,,,,,,,
10,,,,,,,,,,,,,47,14,,,,,,21,,18,,,
11,,,,,,,,74,,,22,,,,50,,,,,,,,34,,
12,,,,,,,43,100,55,,,,,,,,,,,,,,87,,
13,,,,,,,,,76,,,,,13,,,,93,29,,,,,,
14,,,,63,,,14,74,,,,,,,,,,,,,,,,,47
15,,,,,,,33,,,,,,,,,,98,,,,27,,,26,
16,,0,,,,,,78,,,,,,,,,,,,,23,,34,,
17,,,,99,,13,,,,,,49,,,,,,,,,,,,29,
18,10,21,,,,,,,,23,,,,,,,,,,,,,39,,
19,,,,,,,,58,,,,,,,,,,,28,,16,,,17,
20,84,,,,,,,,,,,,,,,,,,47,,,13,,28,
21,51,,,,,,,,44,,,,,,,,70,,,48,,,,,
22,,,,87,,,,,,49,,,,,,92,,,,,,,,,90
23,,,,,,,,,42,58,,,,36,,,,,,,,,66,,
24,,44,,75,,,,,,,,,,,,,,61,,,25,,,,
25,,,,,,0,,,,,,,,,,,25,,,,,17,27,,
26,,,,,,,,97,,75,,,,,100,,,,,,,,,,100
27,,,,71,,38,,79,,,,,,,,,,,,,,,69,,
28,,,,,,,,100,,,,65,,,,70,,,,40,,,,,
29,,,,,,,,,,,,13,,,78,,,,2,14,,,,,
30,,,,,,,0,,,,6,,,,,,31,,22,,,,,,
31,,,,,59,,,,,,26,36,,,,,,54,,,,,,,
32,,,,,,,,56,,,,,53,0,,,,,,26,,,,,
33,,,,,,,,,,24,,,,,37,,,,,,19,0,,,
34,,37,,,,,,82,,,,,,,97,65,,,,,,,,,
35,23,13,,,,,,73,,,,,,,,,,,,,0,,,,
36,,,,,,,,,,23,1,35,32,,,,,,,,,,,,
37,,,77,,,,,,,,,,,,,,,82,,,43,,86,,
38,,,,80,,,14,,,,,16,,,,,,,,,,,,,58
39,,,,,,,,,42,,,,84,,97,,,,9,,,,,,
40,,,,,,,,66,,,,,,,,,,,,,14,,,23,52
41,70,,,,,,55,,,,,,,,86,,,,,,,,,,100
42,,,,,82,,,,,,,,,,,59,,,34,34,,,,,
43,,,,,,,,,,,24,79,,,,,,61,,47,,,,,
44,92,,100,,,19,,,,,,,,,,,,74,,,,,,,
45,,,,,,,,,16,,,,,,,16,,,,0,,,,0,
46,,,,,74,,,,29,,,,,,,,37,,,,,,73,,
47,52,,,100,,,10,,,,,,,,,,,,,,,,,,58
48,,,,31,,,,,,17,,,,,32,30,,,,,,,,,
49,,32,,,,37,26,,,,,,,21,,,,,,,,,,,
50,,,,,,,7,,,,,,,,,,38,,,,13,,,31,
51,,,,96,,,,,,,34,,,,,,,,46,,,,,,92
52,,,,,,,22,,,13,,21,,,,,,,,,,,,12,
53,9,,,,,,,,20,,24,,,,,,10,,,,,,,,
54,,,,,,,,,,,,,,,,89,68,,26,,,,,39,
55,33,,,,,,,63,,,0,,,,,,,,,,,,45,,
56,,,,,,19,18,,,,,,,,,,,24,,,18,,,,
57,,,,,,0,,,,,,,,,100,,,,,,,,76,10,
