ID,sc1,sc2,sc3,sc4,sc5,sc6,sc7,sc8,sc9,sc10,sc11,sc12,sc13,sc14,sc15,sc16,sc17,sc18,sc19,sc20,sc21,sc22,sc23,sc24,sc25
1,,22,98,,,8,,,,,,,63,,63,,29,6,,,7,,,22,
2,,,,96,100,28,12,,,65,39,,100,,,,,,,,,33,,,83
3,,,,80,,,,78,13,0,,,,,39,,,3,,,12,0,2,,
4,,,75,,,0,0,89,4,,,6,,9,,,22,18,,,,,,,
5,,52,85,,63,5,,,,,,56,,15,,,,,20,,23,19,,,
6,62,27,,,84,0,30,,,,,58,,,,,,36,,,,25,,20,
7,,,83,,,,9,88,,8,11,,34,,,,,,,,7,,7,0,
8,,,,61,,,,62,,,,38,,,,70,32,29,10,19,,,,,51
9,,,98,,,26,,,,,66,100,,,,97,60,,11,69,,,100,,
10,46,,,,87,21,,,,27,,39,47,,68,40,,,,,,,61,,
11,,16,99,53,,,,74,0,,22,,,0,,,,,11,,,,,,37
12,,,,,,,,,55,22,57,100,,,,,,85,21,,68,,87,0,
13,,59,,95,,55,38,,,,17,,,13,,,82,,29,,,,,33,
14,,,,63,59,0,,,,,,36,,,,,19,30,,,,14,,16,47
15,71,,100,86,,21,,,25,,,74,,39,,,,45,,,27,,,,
16,,,,,47,,,78,,21,1,2,,,,,0,,2,,,,34,6,
17,,74,,99,,13,49,95,,,64,,,8,,,,,,80,,42,,,
18,,,,31,,,,,,23,24,40,,,,68,,,4,,,11,39,,54
19,,,52,75,,8,11,,,13,,,,,,,,22,,,,7,54,17,
20,,,75,,,,,,47,,27,,,,,80,45,48,47,,24,13,,,
21,,38,98,,81,,50,89,,50,,,,,,95,,,14,48,,,,,
22,,58,100,87,100,,,,,,33,,,,83,92,,,17,,,,,29,
23,59,39,,71,73,,14,,,,47,76,,,,,,,,,,52,,16,
24,66,,,75,,,8,,47,,,,,30,81,,,61,,,,46,,,95
25,,,,,16,0,,,,,,,,,92,,25,,,16,15,17,,2,26
26,75,,100,100,100,,21,,42,75,,,,,100,,,46,,,,,,,
27,,41,,71,,,,79,,,31,,78,,,,,,38,18,39,24,,,
28,72,,,69,,,39,100,,,,,77,,,70,,,,,,35,,26,82
29,,3,,,,,10,,0,,,,,,78,76,16,,,14,0,,,0,
30,,41,82,,42,,,,,,,32,16,,,56,,,,40,,,69,20,
31,40,,,64,,18,,100,33,,,,,24,,,,,,37,,28,,27,
32,,,,,,,,,,43,33,,,0,76,,55,71,32,,65,,,,70
33,,19,,,62,,0,,,,,37,27,,37,,6,,,,,0,,,44
34,,,,63,,,,,28,24,,80,,,97,65,,,,,12,,79,,51
35,23,,,,,,,,0,,,,,,32,20,,,7,,0,13,,0,68
36,,,,,,5,5,72,1,,1,,,10,,,7,,,,35,,,12,
37,,59,77,,84,,,,,,11,93,80,,,85,,,,,43,25,,,
38,29,,,,,8,14,,,,26,16,,,63,,,,,24,,,63,,58
39,,54,,,,,,,,58,,90,,18,97,88,,,9,,,,,54,100
