ID,sc1,sc2,sc3,sc4,sc5,sc6,sc7,sc8,sc9,sc10,sc11,sc12,sc13,sc14,sc15,sc16,sc17,sc18,sc19,sc20,sc21,sc22,sc23,sc24,sc25
1,,,98,,,,,,,25,0,40,,,,,,6,,,,,,,
2,,77,,,,,,,,,,82,,,85,,,,,,49,,100,,
3,3,,,,,,,,,,,,0,2,,,1,3,,,,,,,
4,,,,,39,,0,,,,,,,9,,55,,,,,,,12,,
5,,52,85,,,5,,,,,,,,15,,,,,,,,,82,,
6,,,,,,0,30,,,,,,60,,,,42,,,,,,59,,
7,0,,,,,,9,,,,,2,,0,,,,,,22,,,,,
8,,,,,70,,,,,,,,,,,70,32,,,,25,38,,,
9,,,,100,,,,,20,,,,,52,,,,,,,62,,,,91
10,,,,,87,,,,,,,,,,68,,,21,32,,,,,13,
11,,,99,,,,,,,24,,,,,,,,21,,26,,,34,,
12,,,,,,19,,,,22,,,100,,,,,,,,68,,,0,
13,68,,,,,55,,,,,,,80,,,96,,,,63,,,,,
14,,,95,,59,,,74,,10,,,,,,,,,,7,,,,,
15,,,,,,,33,,25,,,,,,100,,,45,,,,,,,84
16,,,83,,,,,,,,,,41,,69,,,,,8,,,34,,
17,,,,,,,,,,,,,100,,,,57,,,,50,,94,,80
18,,,,,,,,,,,24,,,0,87,,,,4,,35,,,,
19,,12,,,,,,58,,,,,,,,,,,28,,16,7,,,
20,,,,,,,,,,23,,,,,,,,48,,64,,,63,28,
21,51,,,,81,,,,,,29,,84,,,,,,14,,,,,,
22,96,58,100,,,,,100,,,,,,,83,,,,,,,,,,
23,,,,,,,14,73,,,,,,,,,62,,,,,,66,16,
24,,,,,,,8,100,47,,,,,,81,71,,,,,,,,,
25,23,,78,55,,,,,,,,,,,92,,,,7,,,,,,
26,,,,100,,,,,42,,,,,,,95,,,17,,50,,,,
27,,41,,,,,0,,,,31,,,,,84,,71,,,,,,,
28,,,,,,,39,,,,,,,,100,,,,,40,,35,,26,
29,,,,,,12,,,,,,,,,78,76,,,,,,0,,0,
30,31,,,42,,,,,,34,,,,6,52,,,,,,,,,,
31,,,,,,,,,,,26,36,52,,85,,,,,,,,,,79
32,,,59,,75,,28,,,,,,,0,76,,,,,,,,,,
33,,19,,,,14,,,,,,,,,,45,,21,,,,,,,44
34,,,84,,,,,,,,18,,,,,65,31,,,,,,,,51
35,23,,,,36,,,,,,,17,,,,,,,7,30,,,,,
36,36,,,51,,5,,,,,,,32,,,,,,,,,,46,,
37,,,,,84,,,,,,,,,45,,,,,51,,43,,,19,
38,,,,80,,8,,66,,,,,,,,35,,,,,,2,,,
39,,,,,,13,,,,,,,,,97,,,,,,82,33,100,,
40,,,,,,,,66,0,,,,,17,,76,,,,,,,,23,
41,70,,,,,,55,,60,,,100,76,,,,,,,,,,,,
42,,48,,,82,,,,,,21,,,,,,,63,34,,,,,,
43,,,,91,,,31,,,,,,,,,,,,,,26,,93,38,
44,92,,100,,,,27,,39,,,,,,,,73,,,,,,,,
45,4,,,,,,,,16,,,,,,89,,,,,0,12,,,,
46,,52,,,74,,37,,,,,,,11,,,,,12,,,,,,
47,,,,100,,,10,,,,,,,,79,76,,,,,,,,,58
48,,,,,,,,,,,,,,1,,,,,,18,0,2,3,,
49,52,,,,,,,,,,12,,,,89,,,,,,39,,53,,
50,,33,,,51,,,,12,44,,40,,,,,,,,,,,,,
51,,32,,,,,,100,,,,,,,,,,87,46,,82,,,,
52,,,,60,49,,22,,,13,27,,,,,,,,,,,,,,
53,9,,44,51,,,,,,,,,,,75,,,,18,,,,,,
54,59,,72,,,,,,58,,,,,,,,68,,,33,,,,,
55,,,,,,,,,,,,20,30,,,,,32,,,,0,45,,
56,,12,88,,,,,,,,9,24,,,,,,,3,,,,,,
57,,,,100,,,17,,,29,,,,9,,87,,,,,,,,,
58,35,,,79,,,,,,,12,14,,0,,,,,,,,,,,
59,38,26,,,,,,,,26,,,,,,,,,,,11,21,,,
60,,,,70,,,,82,,,20,,32,,,,,,,25,,,,,
61,,,100,,,,36,,,,21,,,32,,,,,,,,,,54,
62,,,,,84,,,,,,,52,,7,,,,30,,,,,,,61
63,,62,,,,,,,,,69,53,,,94,,,,,,,38,,,
64,,,,,90,,55,,,,,,,,86,91,,,42,,,,,,
65,,,,,,4,,,,,,,,,,,,,44,,43,35,68,,
66,,,100,,,12,,,,,,100,,,,,,,,,,54,,54,
67,18,,,,,,,38,0,,,,,,,,,,,,,,,25,75
68,,,,,93,,,,,,30,,,,,,,38,,,,,,51,82
69,,,,55,,0,,,,,,,,,,74,,39,0,,,,,,
70,,28,,76,79,,,,,,,,,,69,,,51,,,,,,,
71,,,84,,85,,,,67,,,100,,,,,,,,,,,,,100
72,,10,,,,0,9,,,,,,,,,,,,0,,,,,,35
73,,,,91,,39,,,,,47,100,,,,,,,,,87,,,,
74,,,,,,0,10,,,,,18,,,,,,,12,,,,,16,
75,64,,100,,90,,13,,,,,,,,74,,,,,,,,,,
76,,,,,,24,,,,,,19,,,53,,,,,,,22,,,58
77,62,50,,,,,,76,,,,,,,77,,48,,,,,,,,
78,,,,96,,,,,,,,72,,,,,,,,,53,5,,,69
79,,,,,,,,64,,,,58,,,86,,,57,,54,,,,,
80,,,,,,,,,,74,,,,32,93,,73,,,,,79,,,
81,,,,55,30,,,,13,,,,52,,,,,,,,,,,,31
82,,,,,,,,,,62,,,,3,98,,28,52,,,,,,,
83,58,,,,46,34,,,,,,38,,,,,,,,,,,,,82
84,,0,,,,,,,0,,,,,,,,,,3,6,,0,,,
85,,,,,73,15,,,,,2,,30,,,,,,16,,,,,,
86,,41,100,,100,,,,,,,,100,,,,,,,,37,,,,
87,,,,,,32,,,,,,,,,68,,,28,2,,10,,,,
88,,37,,,,2,,,,,,32,,,,58,26,,,,,,,,
89,,,,,100,,,100,77,40,,,83,,,,,,,,,,,,
90,48,27,,,,,,,,31,,,,,,,,,,,,26,,,45
91,,,80,,,,4,,0,,,,,0,,,,,0,,,,,,
92,,0,,,,,7,,,,,,,,,,,,0,,,5,,,0
93,69,,,75,,,,,23,36,,,,,,,,,,,,,78,,
94,36,55,,,,,,,,,6,,,,74,,24,,,,,,,,
95,9,,,,,6,,,0,,,,,,,,,0,,0,,,,,
96,9,,,,,0,,50,5,,,,,,,,,,,14,,,,,
