ID,sc1,sc2,sc3,sc4,sc5,sc6,sc7,sc8,sc9,sc10,sc11,sc12,sc13,sc14,sc15,sc16,sc17,sc18,sc19,sc20,sc21,sc22,sc23,sc24,sc25
1,,,,,,,,62,,,,,,,,,29,,,36,,,,,
2,100,,,,,,,,,,,,,20,,,,,,,,,,,83
3,,,,,,,,,,,,,0,2,,,,,,3,,,,,
4,,,,,,,,89,,,,,,9,,,,,,22,,,,,
5,57,52,,,,,,,,29,,,,,,,,,,,,,,,
6,,,,89,,,,,,,,,,,,,,36,,,,,59,,
7,,,,,,,9,,,,,,,0,,,0,,,,,,,,
8,,,,,,,0,,,,,,,,,,,,,,25,,,0,
9,,,98,100,100,,,,,,,,,,,,,,,,,,,,
10,46,,,,,,,,,,31,39,,,,,,,,,,,,,
11,,,,,,2,,,,,,,,,,,,21,,26,,,,,
12,,,,,,,,,55,,,,,,,97,,,,,68,,,,
13,,59,,,,,,,,,,,,13,,,,,,,,71,,,
14,,,,,59,,,,,10,,,,,,,,,,,,14,,,
15,,,,,,,,,,,,74,,39,,,98,,,,,,,,
16,,,,,,,,,,,,,,,,34,,,,,,11,34,,
17,,,100,,,,,,,,,,,8,,,,,,,50,,,,
18,,,,,,,,,,23,,40,,0,,,,,,,,,,,
19,40,,,,,,,,,,,,,,,,,,28,2,,,,,
20,,,,,,,,,,,,,,28,,,,,,64,24,,,,
21,51,,,,,,,,,,,,,,,,70,,,48,,,,,
22,,58,,,,,,,,,,,,3,,,82,,,,,,,,
23,,,,,,,,,,,,76,,,,,62,,,29,,,,,
24,66,,,,,,,,,,,,,,,,,,,32,25,,,,
25,,,,,,,19,,,,,,,,92,,,,,,15,,,,
26,,,100,,,,,97,42,,,,,,,,,,,,,,,,
27,,,,,,,,,,,31,58,,,,,,,,,,,,,92
28,,,,,,,,,,,,,,,100,,,68,,,,,,26,
29,,,,,,,,,,0,,,,5,,,,,,,,0,,,
30,,,,,,,,,,34,,,,,,,,48,,40,,,,,
31,,,,,,,,,,,,,,,85,,59,,,,,,49,,
32,,,,,75,,,,,,,,,0,,,,,,,,12,,,
33,25,,,,,14,,64,,,,,,,,,,,,,,,,,
34,,,,,,,,,,,,,,,,,31,,,,12,,,,51
35,,,,,,,10,,,,,,14,,32,,,,,,,,,,
36,,9,,,,5,,,,,,,,,,,7,,,,,,,,
37,55,,,,,,,,,,,,,,,85,,,,69,,,,,
38,,,,,,,,,,,,,63,,,,,,,24,,2,,,
39,,,,,,,,,,,,,,,,,,,9,38,82,,,,
40,,,,,,12,15,,,,,,,,58,,,,,,,,,,
41,,,,88,,,,92,,60,,,,,,,,,,,,,,,
42,,,,,82,,,,,,21,,,,,,,,,,,,,,74
43,,,78,,,,,,,,24,,,,,,,,,,,28,,,
44,,,,,,,,,,,,,,,,,,,47,,57,,85,,
45,,2,,,,,,,,2,21,,,,,,,,,,,,,,
46,,,,,74,0,,78,,,,,,,,,,,,,,,,,
47,,,,,,,,,,30,24,,,,,,,,,,,14,,,
48,,,,,37,,,,,,,,,,,30,,,0,,,,,,
49,,,,,,,,90,35,,,,,,,,,47,,,,,,,
50,,,,,,,,87,,,,40,,,77,,,,,,,,,,
51,,,97,96,,,,100,,,,,,,,,,,,,,,,,
52,,,,,,,,,5,13,,21,,,,,,,,,,,,,
53,,,,,,,,,,,,,,11,,,,10,,,,,,5,
54,,,,,,7,,,,,,,,,,,,37,,,,,,,85
55,,,,,,,,,0,,,,,,87,,,,,6,,,,,
56,,,,,,,18,,,19,,,,,,,,,,,,3,,,
