ID,sc1,sc2,sc3,sc4,sc5,sc6,sc7,sc8,sc9,sc10,sc11,sc12,sc13,sc14,sc15,sc16,sc17,sc18,sc19,sc20,sc21,sc22,sc23,sc24,sc25
1,,22,98,,,8,,,1,,,,,,,,29,,18,,7,0,,,
2,100,77,95,,,,12,100,,,,,,,,100,,,,,,33,,,83
3,,13,,80,,,,,,,,14,,2,39,,,,,3,,0,,,0
4,,25,,,,,0,89,,2,9,,54,,,,,18,,,,,12,,
5,,52,85,68,,,,,,,,,85,15,91,,,68,,,,19,,,
6,,,,89,,,30,,58,,,,,,63,50,,,38,,,25,,,55
7,,,83,,,14,,88,,,,,,,66,46,,,,,7,12,,0,
8,38,,,61,,,,,,34,21,,49,,,70,,,,,25,,,0,
9,,,,,100,,,,,,66,,100,52,,,60,,11,,62,,,50,
10,,,,77,,,,,13,,,,47,,68,,32,21,32,21,,,,,
11,,16,,,45,,,74,,,22,,,,,62,,,,,2,4,34,,
12,90,,,,,19,43,100,55,,,100,,,,,,85,,,,,87,,
13,68,,95,,99,55,,,,,,,,,88,,,,,63,76,,100,,
14,,,,,,,,74,9,10,16,,,,,,,,18,7,,,,16,47
15,,,100,86,,,33,,,,,,80,,100,100,,,,,27,,,26,
16,,,,,47,,0,,,,1,2,,,,,,4,,,23,11,34,,
17,90,,,,,,,95,,,,,,8,100,98,,72,,,,,94,,80
18,10,21,,31,,,,,,,,40,,,,,5,,4,,35,11,,,
19,40,,,,,,,,11,,20,,33,,,47,,22,,,,7,54,,
20,,46,,90,95,,,,,,,,66,,,80,,48,,,,13,63,,
21,,,,,,,50,,,50,,,,,100,,70,,14,,,48,82,,63
22,96,,100,87,,,,100,,49,,,,,,,,62,,93,,,100,,
23,59,,,,,32,,,42,,,76,,,,,,,,29,46,52,,,72
24,,44,,75,,,8,100,,,,,,,81,71,,,,,,46,70,,
25,23,,78,55,16,,19,,,,,24,,,,,,,,,15,17,,,
26,,,100,,100,55,,,42,75,,,,,100,,,,,,,,88,,100
27,,,92,71,,,0,,,,31,,78,,,,,,38,,39,,,,92
28,,,,,,,39,100,33,47,,,,,,,,,,40,63,35,77,,
29,24,3,72,53,,12,,,0,,,,,,,,16,,,14,,,,,
30,,,82,,,,,49,36,,6,,,,52,,31,,,40,,,,20,
31,40,,,,,18,,,33,,,36,52,,,,,,5,,,28,,27,
32,,,,,75,,,,,,33,,53,,76,59,,,,26,,,,25,70
33,,,,,,,,64,,,23,,27,,,45,6,,9,,,0,29,,
34,,,,,,,31,,28,,,,,,97,65,,,,64,12,34,,,51
35,,,,,36,,10,73,,,,17,14,,,,23,,,30,0,,,,
36,,9,,,,,,,,23,,,32,,,49,7,15,,,,16,46,,
37,,59,,,,17,,100,,16,,,80,,,85,,,51,,,25,,,
38,,,79,,,,14,,,,26,,,15,,,,26,,,10,,63,,58
39,50,,,,,13,,,,,,,84,,,88,,45,,,,33,100,54,
40,22,,,,,,,,,,3,,52,,,,,13,,23,14,,,23,52
41,,,99,88,,,,,,,,100,76,,86,,,54,,,,17,76,,
42,42,,,83,,20,,80,,,,,87,,78,59,,,,34,,,,,
43,,,78,,,,31,,,,24,,69,,,,,61,34,47,26,,,,
44,,,100,,,,27,100,,54,,,,26,,,,,,,57,45,85,,
45,,,,,48,,,,,2,,,55,19,,16,,,,0,,,43,0,
46,,,98,,74,0,,,,,,,,11,,,37,33,,,,,73,0,
47,,,,,,,10,72,,,24,59,,24,79,,52,,17,,,,,,
48,,,42,31,,0,,,0,,6,,,,,,,0,,18,0,,,,
49,,,,70,,,,90,35,,,,60,,89,58,,47,,45,,,,,
50,35,,,,51,,7,87,,,,40,,,77,,38,,,,13,,,,
51,,,,,,,49,,14,32,34,,87,33,,,,,,,,,83,,92
52,,,,,,,,65,,13,27,21,,0,,63,,,10,,,12,,,
53,,,44,,,,0,,,,,,52,,75,50,,,,19,0,,,,61
54,59,,,,,7,,,58,,,,,5,77,,,,,,,23,86,39,
55,,16,,,,,,,,,,,,23,87,,,32,13,,,0,45,14,
56,,,,70,50,,18,82,22,,,,,,,,28,,,6,,,,,47
57,,,,,,,17,,28,,,97,100,,,,,,,74,77,,76,10,
58,35,,,79,34,,24,,,,,14,,0,,,,40,,,,,,,46
