ID,sc1,sc2,sc3,sc4,sc5,sc6,sc7,sc8,sc9,sc10,sc11,sc12,sc13,sc14,sc15,sc16,sc17,sc18,sc19,sc20,sc21,sc22,sc23,sc24,sc25
1,,,,,37,,22,,,,,,,,63,,,,,,7,,,22,30
2,,,,96,,,,,50,,,82,,,,,,,6,,49,,,,83
3,,13,,,,,,78,,0,0,,,,,,,,0,,,,,,0
4,,,,,,,0,,,,9,,54,9,46,55,,,,,,,,,
5,57,52,,68,,,17,,,,,,,15,91,,,,,,,,,,
6,,,,89,,0,,,,,,,60,,,50,42,,,,26,,,,
7,,16,,,,,,,,,11,,,0,,,,8,,,,12,7,,
8,38,,,,,,,,,34,21,,49,,,,,,10,,,,,0,
9,,,,,100,26,,,,,,,,52,96,,,,,,62,,,,91
10,,53,,,,,,,,,,,47,,,,,21,,21,,18,61,,
11,,16,99,53,,,,,,24,,,47,,,,,,,26,,,,,
12,,,,96,100,,,,55,22,,,,,,,,,,,,44,87,,
13,,,,95,99,,,88,,,,,,13,,,,,29,,,,,,80
14,8,,,,,,,,,10,,,46,,71,,19,,,,,,,,47
15,,,,,100,,33,,,54,20,74,80,,,,,,,,,,,,
16,,,,,,,,78,18,21,1,,,0,,34,,,,,,,,,
17,,,,,,,49,,,,64,49,,,,,57,,,,,,,29,80
18,,,91,,,,12,72,,,,40,,0,,68,,,,,,,,,
19,,,,,14,,,58,11,,,,,,,,18,,,2,,,,17,
20,,,,,,15,29,,47,,27,,,,81,,,,47,,,,,,
21,,38,,78,,,50,,,50,,,,21,,,,,,,,,,16,
22,,,,87,,,,,,,,,,,83,,,62,,93,42,,,29,
23,,39,,,73,,,,,58,,,,,,,62,,,29,,,,16,
24,66,44,,,,,8,100,,59,,,,,,,,,,,,,,15,
25,,,78,,,,,,2,12,12,,,,,,,,7,,,,,2,
26,,,100,,100,,21,,,,,,,,100,,,,,75,,,,,100
27,,,,71,,,,,25,45,,58,78,,,,,71,,,,,,,
28,,43,100,,,,,100,,,36,,,10,,,30,,,,,,,,
29,,,,,,,10,,,,,,26,,,,,15,2,,,0,55,,
30,,41,82,,,,,,36,,,32,,,,,31,,,40,,,,,
31,40,,84,,59,,,,33,,26,,52,,,,,,,,,,,,
32,,,,,,,,56,,43,,29,,,76,,55,,,,,,,,70
33,,,,,62,14,,,21,,23,,,,,,6,,,28,,,,,
34,35,,84,,,,,,28,,,,,,,,,50,,64,,34,,,
35,,,,,36,0,,73,,,,,14,,,,,,7,,,,,,68
36,,,,51,18,,,72,,,,,32,,79,,,,,,35,,,,
37,,,,,,,,,,16,11,,80,45,75,,,,,69,,,,,
38,,,,80,,8,,,,28,,16,63,,,,,,,,,,63,,
39,,54,,,,,,,,,28,,,18,,,48,,9,38,,,,,
40,,,,,66,12,,,,34,,,,,,,,,,,14,,,23,52
41,,,,,,,,,60,,,,76,,86,,,,9,,38,,,17,
42,,,,,82,,,,,,,51,,,78,,,,34,34,,,,11,
43,,,,91,,,,,,,,,,,,89,,,34,,26,,,38,68
